Food,Protein (g),Carbs (g),Fat (g),Calories,Description
Swiss Chard,11.9,44.5,14.8,291.5,"Swiss Chard contains 11.9g protein, 44.5g carbs, 14.8g fat, and 291.5 calories."
Seaweed,12.0,45.0,15.0,295.0,"Seaweed contains 12.0g protein, 45.0g carbs, 15.0g fat, and 295.0 calories."
Napa Cabbage,12.1,45.5,15.2,298.5,"Napa Cabbage contains 12.1g protein, 45.5g carbs, 15.2g fat, and 298.5 calories."
Tempeh,12.2,46.0,15.4,302.0,"Tempeh contains 12.2g protein, 46.0g carbs, 15.4g fat, and 302.0 calories."
Edamame,12.3,46.5,15.6,305.5,"Edamame contains 12.3g protein, 46.5g carbs, 15.6g fat, and 305.5 calories."
Soy Milk,12.4,47.0,15.8,309.0,"Soy Milk contains 12.4g protein, 47.0g carbs, 15.8g fat, and 309.0 calories."
Almond Milk,12.5,47.5,16.0,312.5,"Almond Milk contains 12.5g protein, 47.5g carbs, 16.0g fat, and 312.5 calories."
Coconut Milk,12.6,48.0,16.2,316.0,"Coconut Milk contains 12.6g protein, 48.0g carbs, 16.2g fat, and 316.0 calories."
Rice Milk,12.7,48.5,16.4,319.5,"Rice Milk contains 12.7g protein, 48.5g carbs, 16.4g fat, and 319.5 calories."
Seitan,12.8,49.0,16.6,323.0,"Seitan contains 12.8g protein, 49.0g carbs, 16.6g fat, and 323.0 calories."
Paneer,12.9,49.5,16.8,326.5,"Paneer contains 12.9g protein, 49.5g carbs, 16.8g fat, and 326.5 calories."
Mozzarella Cheese,13.0,50.0,17.0,330.0,"Mozzarella Cheese contains 13.0g protein, 50.0g carbs, 17.0g fat, and 330.0 calories."
Cheddar Cheese,13.1,50.5,17.2,333.5,"Cheddar Cheese contains 13.1g protein, 50.5g carbs, 17.2g fat, and 333.5 calories."
Feta Cheese,13.2,51.0,17.4,337.0,"Feta Cheese contains 13.2g protein, 51.0g carbs, 17.4g fat, and 337.0 calories."
Ricotta,13.3,51.5,17.6,340.5,"Ricotta contains 13.3g protein, 51.5g carbs, 17.6g fat, and 340.5 calories."
Yam,13.4,52.0,17.8,344.0,"Yam contains 13.4g protein, 52.0g carbs, 17.8g fat, and 344.0 calories."
Plantain,13.5,52.5,18.0,347.5,"Plantain contains 13.5g protein, 52.5g carbs, 18.0g fat, and 347.5 calories."
Taro,13.6,53.0,18.2,351.0,"Taro contains 13.6g protein, 53.0g carbs, 18.2g fat, and 351.0 calories."
Jackfruit,13.7,53.5,18.4,354.5,"Jackfruit contains 13.7g protein, 53.5g carbs, 18.4g fat, and 354.5 calories."
Guava,13.8,54.0,18.6,358.0,"Guava contains 13.8g protein, 54.0g carbs, 18.6g fat, and 358.0 calories."
Lychee,13.9,54.5,18.8,361.5,"Lychee contains 13.9g protein, 54.5g carbs, 18.8g fat, and 361.5 calories."
Pomegranate,14.0,55.0,19.0,365.0,"Pomegranate contains 14.0g protein, 55.0g carbs, 19.0g fat, and 365.0 calories."
Passionfruit,14.1,55.5,19.2,368.5,"Passionfruit contains 14.1g protein, 55.5g carbs, 19.2g fat, and 368.5 calories."
Dragonfruit,14.2,56.0,19.4,372.0,"Dragonfruit contains 14.2g protein, 56.0g carbs, 19.4g fat, and 372.0 calories."
Fig,14.3,56.5,19.6,375.5,"Fig contains 14.3g protein, 56.5g carbs, 19.6g fat, and 375.5 calories."
Date,14.4,57.0,19.8,379.0,"Date contains 14.4g protein, 57.0g carbs, 19.8g fat, and 379.0 calories."
Prune,14.5,57.5,20.0,382.5,"Prune contains 14.5g protein, 57.5g carbs, 20.0g fat, and 382.5 calories."
Apricot,14.6,58.0,20.2,386.0,"Apricot contains 14.6g protein, 58.0g carbs, 20.2g fat, and 386.0 calories."
Nectarine,14.7,58.5,20.4,389.5,"Nectarine contains 14.7g protein, 58.5g carbs, 20.4g fat, and 389.5 calories."
Persimmon,14.8,59.0,20.6,393.0,"Persimmon contains 14.8g protein, 59.0g carbs, 20.6g fat, and 393.0 calories."
Sapodilla,14.9,59.5,20.8,396.5,"Sapodilla contains 14.9g protein, 59.5g carbs, 20.8g fat, and 396.5 calories."
Breadfruit,15.0,60.0,21.0,400.0,"Breadfruit contains 15.0g protein, 60.0g carbs, 21.0g fat, and 400.0 calories."
